"sampling","date","month","treatment","plot","abundance","code","family","genus_level","species_level","height","Ah","Ab","biomass_i","nind_m2","intercept","slope","r_squared","p_value","biomass","n_species","abundance_total","biomass_total"
"0",2023-05-04,"May","w","1",15,"visa","Fabaceae","Vicia","sativa",34.3333333333333,NA,NA,NA,16.3651040812982,1.57777413538765,0.985821996394034,0.263568029752485,9.53130448250062e-07,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",5,"gedi","Geraniaceae","Geranium","dissectum",31,NA,NA,NA,3.75081476081507,1.39035716931041,0.472091518300932,0.391870908358925,4.44886047896214e-14,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",10,"plla","Plantaginaceae","Plantago","lanceolata",28.5,NA,NA,NA,4.46380911294035,1.26352107305077,0.320028803988958,0.373863361168411,1.39909398901507e-14,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",1,"cegl","Caryophyllaceae","Cerastium","glomeratum",15,NA,NA,NA,2.31627364157485,0.499570933305883,1.81670270826897,0.597284181499837,1.82274130050189e-15,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",11.5625,"poaceae","Poaceae",NA,NA,62.0625,NA,NA,NA,19.0489920168416,13.0227796575861,0.521185933773446,0.466095135658867,1.2510440270391e-13,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",6,"trdu","Fabaceae","Trifolium","dubium",35,NA,NA,NA,3.45233050847457,1.03072033898305,0.403601694915254,0.394287809647979,0.00230561041360377,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",2,"bepe","Asteraceae","Bellis","perennis",19,NA,NA,NA,1.6671393123006,1.12832328961361,0.269408011343496,0.187500081154813,2.80198732345708e-05,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",1,"mear","Fabaceae","Medicago","arabica",17,NA,NA,NA,2.50826548767995,2.24661670351,0.261648784169947,0.252531666630851,1.34494383436748e-07,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",15,"shar","Rubeaceae","Sherardia","armensis",27,NA,NA,NA,22.5457567716949,2.64860591747921,1.32647672361438,0.294112377373703,2.69268679511162e-10,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",8,"fear","Poaceae","Festuca","arundinacea",85.25,NA,NA,NA,1.62847214924495,0.704791782700533,0.115460045818052,0.263872436745876,7.40961016073877e-08,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",4,"asteraceae","Asteraceae",NA,NA,17.5,NA,NA,NA,3.2225093636903,1.6513049491535,0.3928011036342,0.268481139788285,1.68902877213852e-07,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",25,"rapa","Ranunculaceae","Rannunculus","parviflorus",27.4166666666667,NA,NA,NA,22.9082647529227,7.91470166173394,0.599742523647551,0.492457239985109,4.67043961223343e-15,NA,14,109.5625,0
"0",2023-05-04,"May","w","1",5,"tosp","Apieaceae","Torilis","sp",24.6666666666667,NA,NA,NA,5.598990454151,2.51592228328994,0.616613634172212,0.280331130114251,2.17481553158403e-10,NA,14,109.5625,0
