"","treatment","sampling","mean_richness","sd_richness","mean_abundance","sd_abundance","mean_Y_zipf","sd_Y_zipf","mean_mu_log","sd_mu_log","mean_sigma_log","sd_sigma_log","cv_richness"
"1","c","0",13.25,4.19324854180304,93.9944202349375,23.990990230081,-1.18101642763669,0.33749358214285,1.42676584963351,0.341578600539318,1.14183060191105,0.291808107678382,0.316471588060607
"2","c","1",14.5,3.41565025531987,89.9484541062802,24.6161511704823,-1.12515708944762,0.462528961122469,1.23927468439579,0.176733742395481,1.12178993980366,0.442267462903899,0.235562086573784
"3","c","2",12.75,2.98607881119482,78.5340591397849,18.6278152319338,-0.954736254483322,0.31742649519549,1.46158032031608,0.227480029352685,0.910364242167272,0.293400527171972,0.234202259701554
"4","c","3",8.25,3.09569593683445,64.515625,24.8149597332436,-1.30022748739283,0.451038318856734,1.60059661386837,0.403882821387985,1.15909328339167,0.315317989163515,0.375235871131449
"5","c","4",5.25,0.5,61.5,20.5345237750153,-1.1491248328876,0.543566349579501,2.0858121785935,0.616924263013141,0.946804611700676,0.475753606472625,0.0952380952380952
"6","c","5",6,1.15470053837925,85.625,32.6276339932886,-1.3200680313732,0.583907834581029,2.15027862897873,0.622921969051783,1.12523967295493,0.540306563032345,0.192450089729875
"7","c","6",4.25,1.70782512765993,43.5,16.0519988371127,-1.43151576215187,0.599683589276883,2.02689521254469,0.127533197800067,1.03595991635572,0.419086009108002,0.40184120650822
"8","c","7",4.75,1.25830573921179,61,23.8047614284762,-1.80270392508045,1.03187145547439,1.96034327397458,0.552368489898293,1.37791513402834,0.694453912453226,0.264906471413009
"9","c","8",7,1.4142135623731,72.375,14.3954564591286,-1.44348250487075,0.429549189181318,1.71670042334328,0.261875634486963,1.34593757719678,0.412251638616178,0.202030508910442
"10","c","9",8,2.44948974278318,87.75,19.3627649540727,-1.64762963345794,0.457509801953009,1.59221948387254,0.456954334036636,1.54819558450637,0.432992758590545,0.306186217847897
"11","c","10",8.75,2.98607881119482,89.375,13.3627280148928,-1.70508693254564,0.595620824421572,1.42492550941035,0.555328454290671,1.65056537970224,0.576167281355484,0.341266149850836
"12","c","11",11.25,1.25830573921179,89.625,15.3697484256141,-1.58640020199339,0.55372430869218,1.04936217102884,0.373475941274136,1.5894746939684,0.595393743496564,0.111849399041048
"13","c","12",12.75,2.21735578260835,75.9375,21.4984253299321,-1.33035749665885,0.334914077275342,1.01425028173498,0.238224642859124,1.3348691878599,0.397631055159301,0.173910257459478
"14","c","13",15,2.58198889747161,109.5,3.41565025531987,-1.42434212530373,0.111382785148709,1.08043622800975,0.38011429529262,1.47337723471532,0.171808263548718,0.172132593164774
"15","c","14",14.75,1.70782512765993,104.25,4.64578662158878,-1.77483728021345,0.215703628502186,0.542223820444992,0.336937724471735,1.87825982527808,0.245974854798648,0.115784754417623
"16","c","15",15.25,1.5,97,6.48074069840786,-1.55847616722476,0.333992847573293,0.726607411471136,0.348951700571616,1.63711487373306,0.347869363058818,0.0983606557377049
"17","c","16",16,2,109,6.73300329224139,-1.63632264120033,0.142797935315796,0.658172689359326,0.391080148590217,1.75124921565148,0.194771088440908,0.125
"18","c","17",14.75,2.5,98,18.4210025061975,-1.51400750036359,0.269595978283711,0.844620247184985,0.49978329739584,1.57533396139561,0.319830946817718,0.169491525423729
"19","w","0",9.75,2.87228132326901,99.3599431818182,10.5136080067072,-1.60352212384066,1.12518782683728,1.31984070721296,1.19190524308806,1.61357076898395,1.15240750350815,0.294592956232719
"20","w","1",10.5,2.38047614284762,85.2292350848385,23.1684089841881,-1.30158337260786,0.515000053333376,1.42275804803677,0.70079738750191,1.28785686764817,0.507048525404614,0.226712013604535
"21","w","2",10.75,2.87228132326901,67.6422161172161,22.598695719358,-1.13118535217872,0.179386776766017,1.3502400441851,0.363396361553948,1.08529843796613,0.143168353250791,0.267188960304094
"22","w","3",9,1.4142135623731,62.8375,19.6075400037843,-1.35779092338726,0.251346807199267,1.28368599022425,0.202477289672912,1.28548268078225,0.279932388684093,0.157134840263677
"23","w","4",6.5,1.29099444873581,54.125,16.4234334615715,-1.53757474763386,0.600285028459389,1.43208186333353,0.278014854385183,1.39904145286967,0.540772827631533,0.198614530574739
"24","w","5",5.5,2.08166599946613,60.875,13.978405965393,-1.52732111892954,0.572816552599887,2.00265090082499,0.54141894780735,1.21902464500749,0.323569887439294,0.37848472717566
"25","w","6",4,1.15470053837925,39.5,14.8211560502771,-0.982079480740564,0.290779285521466,2.08939581495206,0.591952255228278,0.74509165595861,0.28990174440018,0.288675134594813
"26","w","7",4.25,2.62995563967658,43.125,7.50971592893722,-1.61607337201701,0.835708605324864,2.09273974746468,0.696854654215645,1.15250482528469,0.506625649201424,0.618813091688608
"27","w","8",4.75,2.5,68.75,32.3869829818504,-1.73345709733432,0.627301781696587,2.27975986300115,1.04946836338405,1.27855850953809,0.219604708340238,0.526315789473684
