"plot","species","abundance_relative"
"plot 12","bepe",0.00918906501263497
"plot 12","brho",0.00229726625315874
"plot 12","brst",0.00229726625315874
"plot 12","cegl",0.00229726625315874
"plot 12","elre",0.663909947162876
"plot 12","g13",0.0229726625315874
"plot 12","gedi",0.00574316563289685
"plot 12","libi",0.00459453250631748
"plot 12","mear",0.0160808637721112
"plot 12","opap",0.00229726625315874
"plot 12","plla",0.0137835975189524
"plot 12","rabu",0.00229726625315874
"plot 12","rapa",0.0413507925568573
"plot 12","shar",0.0114863312657937
"plot 12","tono",0.0344589937973811
"plot 12","trre",0.0202159430277969
"plot 12","coar",0.0321617275442224
"plot 12","elre",0.663909947162876
"plot 12","trre",0.0202159430277969
"plot 12","melu",0.0344589937973811
"plot 12","bepe",0.00918906501263497
"plot 12","coar",0.0321617275442224
"plot 12","elre",0.663909947162876
"plot 12","melu",0.0344589937973811
"plot 12","ni_p12_2",0.00229726625315874
"plot 12","to",0.00229726625315874
"plot 12","rapa",0.0413507925568573
"plot 12","elre",0.663909947162876
"plot 12","trre",0.0202159430277969
"plot 12","elre",0.663909947162876
"plot 12","melu",0.0344589937973811
"plot 12","coar",0.0321617275442224
"plot 12","shar",0.0114863312657937
"plot 12","elre",0.663909947162876
"plot 12","fear",0.062026188835286
"plot 12","plla",0.0137835975189524
"plot 12","trfr",0.00918906501263497
"plot 12","elre",0.663909947162876
"plot 12","fear",0.062026188835286
"plot 12","plla",0.0137835975189524
"plot 12","fear",0.062026188835286
"plot 12","trre",0.0202159430277969
"plot 12","elre",0.663909947162876
"plot 12","coar",0.0321617275442224
"plot 12","fear",0.062026188835286
"plot 12","melu",0.0344589937973811
"plot 12","mear",0.0160808637721112
"plot 12","gedi",0.00574316563289685
"plot 12","melu",0.0344589937973811
"plot 12","ni_p12_1",0.00229726625315874
